case_id,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,correct_fix,evidence_status
C001,VLAN,PC-A in VLAN 10 cannot ping PC-B in VLAN 10 connected to Switch 2.,"PC-A (192.168.10.10/24) -> Switch1 (FastEthernet0/1 access VLAN 10, GigabitEthernet0/1 trunk) -> Switch2 (GigabitEthernet0/1 trunk, FastEthernet0/2 access VLAN 10) -> PC-B (192.168.10.20/24).","--- Host IP Config ---
PC-A: IP 192.168.10.10, Subnet 255.255.255.0, GW 192.168.10.1
PC-B: IP 192.168.10.20, Subnet 255.255.255.0, GW 192.168.10.1

--- Switch1 show interfaces trunk ---
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/1       1-4094
Port        Vlans allowed and active in management domain
Gi0/1       1,10,20

--- Switch2 show interfaces trunk ---
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/1       1,20,30
Port        Vlans allowed and active in management domain
Gi0/1       1,20,30

--- Switch2 show vlan brief ---
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/3
10   Sales                            active    Fa0/2
20   Engineering                      active
",VLAN 10 is pruned/disallowed on Switch2 trunk interface GigabitEthernet0/1.,Layer 2,VLAN Trunking / Pruning,High,"On Switch2 interface GigabitEthernet0/1, execute 'switchport trunk allowed vlan add 10'.",VERIFIED_LAB
C002,VLAN,PC-1 in VLAN 20 is unable to obtain traffic or reach gateway. Switch logs report native VLAN mismatch.,Switch1 (Gi0/1) trunk to Switch2 (Gi0/1). Native VLAN mismatch between switches.,"--- Switch1 CDP & Trunk Log ---
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (10), with Switch2 GigabitEthernet0/1 (1).

--- Switch1 show interfaces Gi0/1 switchport ---
Name: Gi0/1
Operational Mode: trunk
Administrative Native VLAN tagging: disabled
Trunking Native VLAN: 10 (Sales)

--- Switch2 show interfaces Gi0/1 switchport ---
Name: Gi0/1
Operational Mode: trunk
Administrative Native VLAN tagging: disabled
Trunking Native VLAN: 1 (default)
",Native VLAN mismatch on trunk link between Switch1 (VLAN 10) and Switch2 (VLAN 1).,Layer 2,Native VLAN Mismatch,Medium,Configure 'switchport trunk native vlan 10' on Switch2 interface GigabitEthernet0/1.,VERIFIED_LAB
C003,VLAN,PC connected to Switch1 Fa0/5 has no network access and fails all pings.,"Host PC (192.168.30.15/24) connected to Switch1 Fa0/5, configured for VLAN 30.","--- Host IP Config ---
IP: 192.168.30.15, Mask: 255.255.255.0, GW: 192.168.30.1

--- Switch1 show interface Fa0/5 status ---
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/5                        connected    30         a-full  a-100 10/100BaseTX

--- Switch1 show vlan brief ---
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    Fa0/6, Fa0/7
20   HR                               active    Fa0/8
",VLAN 30 does not exist in the VLAN database on Switch1.,Layer 2,Missing VLAN Definition,High,Create VLAN 30 on Switch1 using 'vlan 30' followed by 'name Admin'.,DOCUMENTED_SCENARIO
C004,VLAN,PC-2 attached to Fa0/10 cannot reach default gateway 192.168.1.1.,Host PC-2 should be in VLAN 10 (subnet 192.168.1.0/24).,"--- Host IP Config ---
IP: 192.168.1.50, Mask: 255.255.255.0, GW: 192.168.1.1

--- Switch1 show mac address-table interface Fa0/10 ---
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
1       0050.7966.0001    DYNAMIC     Fa0/10

--- Switch1 show interfaces Fa0/10 switchport ---
Name: Fa0/10
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)
",Switch port Fa0/10 is assigned to default VLAN 1 instead of target VLAN 10.,Layer 2,Access Port VLAN Assignment,Medium,"On Switch1 interface Fa0/10, execute 'switchport access vlan 10'.",DOCUMENTED_SCENARIO
C005,VLAN,"Trunk port between Switch1 and Switch2 is down, disabling inter-switch traffic.",Switch1 Gi0/2 connected to Switch2 Gi0/2. DTP negotiation failing.,"--- Switch1 show interfaces Gi0/2 switchport ---
Name: Gi0/2
Administrative Mode: dynamic auto
Operational Mode: static access
Negotiation of Trunking: On
Access Mode VLAN: 1

--- Switch2 show interfaces Gi0/2 switchport ---
Name: Gi0/2
Administrative Mode: dynamic auto
Operational Mode: static access
Negotiation of Trunking: On
Access Mode VLAN: 1
","Both trunk ports are set to 'dynamic auto', so neither port initiates trunk negotiation.",Layer 2,Dynamic Trunking Protocol (DTP) Misconfig,Medium,Configure 'switchport mode trunk' statically on interface Gi0/2 of both switches.,DOCUMENTED_SCENARIO
C006,Gateway/IP,PC-A experiences intermittent loss of connectivity and duplicate IP warnings.,PC-A (192.168.1.100) and PC-B on the same LAN segment.,"--- PC-A Host IP Config ---
IP Address: 192.168.1.100, Subnet: 255.255.255.0, GW: 192.168.1.1
MAC: 0001.AAAA.1111

--- PC-B Host IP Config ---
IP Address: 192.168.1.100, Subnet: 255.255.255.0, GW: 192.168.1.1
MAC: 0002.BBBB.2222

--- Router1 show ip arp ---
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.1.100           0   0001.AAAA.1111  ARPA   Gi0/0
Internet  192.168.1.100           0   0002.BBBB.2222  ARPA   Gi0/0
",Duplicate IP address (192.168.1.100) statically assigned to both PC-A and PC-B.,Layer 3,Duplicate IP Address,High,Reconfigure PC-B to use an unallocated static IP address such as 192.168.1.101.,DOCUMENTED_SCENARIO
C007,Gateway/IP,PC-1 can reach local subnet hosts (10.0.1.0/24) but cannot reach remote servers (10.0.2.10).,PC-1 (10.0.1.50) connected to Router1 Gi0/0 (10.0.1.1).,"--- PC-1 ipconfig ---
IP Address. . . . . . . . . . . . : 10.0.1.50
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 10.0.1.254

--- Router1 show ip interface brief ---
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         10.0.1.1        YES manual up                    up
GigabitEthernet0/1         10.0.2.1        YES manual up                    up
",PC-1 is configured with an invalid default gateway address (10.0.1.254 instead of 10.0.1.1).,Layer 3,Default Gateway Mismatch,High,Change PC-1's default gateway address to 10.0.1.1.,DOCUMENTED_SCENARIO
C008,Gateway/IP,Host PC-3 (172.16.10.50) cannot ping Gateway 172.16.10.1.,PC-3 connected to Router LAN interface Gi0/0 (172.16.10.1/24).,"--- PC-3 ipconfig ---
IP Address: 172.16.10.50
Subnet Mask: 255.255.0.0
Default Gateway: 172.16.10.1

--- Router show interfaces GigabitEthernet0/0 ---
GigabitEthernet0/0 is up, line protocol is up
  Internet Address is 172.16.10.1/24, Extra Subnet 255.255.255.0
",Subnet mask mismatch between host PC-3 (255.255.0.0 /16) and router interface (255.255.255.0 /24).,Layer 3,Subnet Mask Mismatch,Medium,Update PC-3 subnet mask to 255.255.255.0.,DOCUMENTED_SCENARIO
C009,Gateway/IP,Hosts on LAN failover fail when primary router R1 goes down.,R1 (192.168.1.2) and R2 (192.168.1.3) configured for HSRP Virtual IP 192.168.1.1.,"--- R1 show standby brief ---
Interface   Grp  Pri P State   Active          Standby         Virtual IP
Gi0/0       1    110 P Active  local           192.168.1.3     192.168.1.1

--- R2 show standby brief ---
Interface   Grp  Pri P State   Active          Standby         Virtual IP
Gi0/0       2    100   Active  local           unknown         192.168.1.1
",HSRP group ID mismatch (Group 1 on R1 vs Group 2 on R2).,Layer 3,HSRP First-Hop Redundancy Misconfig,High,Reconfigure R2 interface Gi0/0 to use 'standby 1 ip 192.168.1.1'.,DOCUMENTED_SCENARIO
C010,DHCP,Branch office PCs receive APIPA IP addresses (169.254.x.x) and cannot access company network.,Branch PCs -> Switch -> Branch Router Gi0/0 (192.168.50.1) -> WAN -> HQ Central DHCP Server (10.1.1.100).,"--- Branch PC ipconfig ---
Autoconfiguration IPv4 Address. . . : 169.254.45.12
Subnet Mask . . . . . . . . . . . : 255.255.0.0
Default Gateway . . . . . . . . . :

--- Branch Router show running-config interface Gi0/0 ---
interface GigabitEthernet0/0
 ip address 192.168.50.1 255.255.255.0
 duplex auto
 speed auto
",Missing 'ip helper-address 10.1.1.100' command on Branch Router interface Gi0/0 to forward DHCP broadcasts across the WAN.,Layer 7 / Application (DHCP Relay),DHCP Relay / IP Helper Address,High,"On Branch Router interface Gi0/0, add command 'ip helper-address 10.1.1.100'.",DOCUMENTED_SCENARIO
C011,DHCP,New PCs added to Sales department fail to obtain IP address from Router DHCP pool.,Router1 acting as local DHCP server for pool SALES_POOL (192.168.10.0/24).,"--- Router1 show ip dhcp binding ---
IP address       Client-ID/Hardware address      Expiration       Type
192.168.10.1     0001.1111.1111                  Infinite         Manual
... [254 active bindings listed] ...

--- Router1 show ip dhcp pool SALES_POOL ---
Pool SALES_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (total/total addresses) : 254 / 254
 Total leased addresses         : 254
 Pending event addresses        : 0
",DHCP pool SALES_POOL address space is completely exhausted.,Layer 7,DHCP Pool Exhaustion,High,Expand the DHCP pool subnet mask or clear inactive leases using 'clear ip dhcp binding *'.,DOCUMENTED_SCENARIO
