log_id,case_id,timestamp,category,initial_ai_diagnosis,ai_root_cause,ai_confidence,human_decision,human_verdict,corrected_diagnosis,corrected_root_cause,reason_for_correction,reviewer_note
LOG-C001,C001,2026-08-27 21:45:17,VLAN,"Trunk port FastEthernet0/1 on Switch1 is configured to only allow VLAN 20 ('switchport trunk allowed vlan 20'), blocking VLAN 10 traffic across the trunk link.","Trunk port FastEthernet0/1 on Switch1 is configured to only allow VLAN 20 ('switchport trunk allowed vlan 20'), blocking VLAN 10 traffic across the trunk link.",high,Edit,Edited,VLAN 10 is missing from the allowed trunk list on Switch2 interface GigabitEthernet0/1.,VLAN 10 is missing from the allowed trunk list on Switch2 interface GigabitEthernet0/1.,"AI correctly identified the VLAN trunk allowed list restriction, but misidentified the target switch and interface as Switch1 FastEthernet0/1 instead of Switch2 GigabitEthernet0/1. Corrected target interface to Switch2 Gi0/1 and fix to 'switchport trunk allowed vlan add 10'.","AI correctly identified the VLAN trunk allowed list restriction, but misidentified the target switch and interface as Switch1 FastEthernet0/1 instead of Switch2 GigabitEthernet0/1. Corrected target interface to Switch2 Gi0/1 and fix to 'switchport trunk allowed vlan add 10'."
LOG-C002,C002,2026-08-27 21:45:17,VLAN,Native VLAN mismatch on trunk link between Switch1 (VLAN 10) and Switch2 (VLAN 1).,Native VLAN mismatch on trunk link between Switch1 (VLAN 10) and Switch2 (VLAN 1).,medium,Accept,Accepted,,,Accepted. AI diagnosis accurately identified native VLAN mismatch on trunk link between Switch1 and Switch2.,Accepted. AI diagnosis accurately identified native VLAN mismatch on trunk link between Switch1 and Switch2.
LOG-C003,C003,2026-08-27 21:45:17,VLAN,Rule check failure: VLAN 30 assigned to Fa0/5 is missing from switch VLAN database.,Rule check failure: VLAN 30 assigned to Fa0/5 is missing from switch VLAN database.,high,Accept,Accepted,,,Accepted. AI diagnosis matches ground truth missing VLAN definition on Switch1.,Accepted. AI diagnosis matches ground truth missing VLAN definition on Switch1.
LOG-C004,C004,2026-08-27 21:45:17,VLAN,Switch port Fa0/10 is assigned to default VLAN 1 instead of target VLAN 10.,Switch port Fa0/10 is assigned to default VLAN 1 instead of target VLAN 10.,medium,Accept,Accepted,,,Accepted. AI diagnosis matches ground truth access port VLAN membership mismatch.,Accepted. AI diagnosis matches ground truth access port VLAN membership mismatch.
LOG-C005,C005,2026-08-27 21:45:17,VLAN,"Dynamic Trunking Protocol (DTP) negotiation fails to establish a trunk because both Switch1 Gi0/2 and Switch2 Gi0/2 are set to 'dynamic auto' administrative mode. Since neither side actively initiates trunk negotiation, the operational mode defaults to 'static access'.","Dynamic Trunking Protocol (DTP) negotiation fails to establish a trunk because both Switch1 Gi0/2 and Switch2 Gi0/2 are set to 'dynamic auto' administrative mode. Since neither side actively initiates trunk negotiation, the operational mode defaults to 'static access'.",high,Accept,Accepted,,,Accepted. AI accurately identified DTP auto-negotiation failure on interface Gi0/2 between Switch1 and Switch2.,Accepted. AI accurately identified DTP auto-negotiation failure on interface Gi0/2 between Switch1 and Switch2.
LOG-C006,C006,2026-08-27 21:45:17,Gateway/IP,"IP address conflict / duplicate IP configuration on the local subnet. Both PC-A and PC-B are assigned the same IPv4 address (192.168.1.100) with different MAC addresses (0001.AAAA.1111 and 0002.BBBB.2222), causing ARP flapping and communication disruption.","IP address conflict / duplicate IP configuration on the local subnet. Both PC-A and PC-B are assigned the same IPv4 address (192.168.1.100) with different MAC addresses (0001.AAAA.1111 and 0002.BBBB.2222), causing ARP flapping and communication disruption.",high,Accept,Accepted,,,Accepted. AI correctly identified duplicate IP address conflict on 192.168.1.100 causing ARP flapping.,Accepted. AI correctly identified duplicate IP address conflict on 192.168.1.100 causing ARP flapping.
LOG-C007,C007,2026-08-27 21:45:17,Gateway/IP,"Default gateway misconfiguration on PC-1. PC-1 is configured with default gateway 10.0.1.254, but Router1's connected interface GigabitEthernet0/0 is configured with IP address 10.0.1.1.","Default gateway misconfiguration on PC-1. PC-1 is configured with default gateway 10.0.1.254, but Router1's connected interface GigabitEthernet0/0 is configured with IP address 10.0.1.1.",high,Accept,Accepted,,,Accepted. AI accurately identified default gateway IP configuration mismatch on PC-1.,Accepted. AI accurately identified default gateway IP configuration mismatch on PC-1.
LOG-C008,C008,2026-08-27 21:45:17,Gateway/IP,"Subnet mask mismatch on PC-3. PC-3 is configured with a /16 subnet mask (255.255.0.0), whereas the router interface GigabitEthernet0/0 is configured with a /24 subnet mask (255.255.255.0).","Subnet mask mismatch on PC-3. PC-3 is configured with a /16 subnet mask (255.255.0.0), whereas the router interface GigabitEthernet0/0 is configured with a /24 subnet mask (255.255.255.0).",high,Accept,Accepted,,,Accepted. AI correctly flagged subnet mask mismatch on PC-3.,Accepted. AI correctly flagged subnet mask mismatch on PC-3.
LOG-C009,C009,2026-08-27 21:45:17,Gateway/IP,"HSRP group number mismatch between routers. R1 is configured for HSRP group 1 while R2 is configured for HSRP group 2, causing both routers to act as Active routers in separate HSRP groups rather than forming an Active/Standby pair.","HSRP group number mismatch between routers. R1 is configured for HSRP group 1 while R2 is configured for HSRP group 2, causing both routers to act as Active routers in separate HSRP groups rather than forming an Active/Standby pair.",high,Accept,Accepted,,,Accepted. AI accurately identified HSRP group number mismatch between R1 and R2.,Accepted. AI accurately identified HSRP group number mismatch between R1 and R2.
LOG-C010,C010,2026-08-27 21:45:17,DHCP,"The Branch Router interface GigabitEthernet0/0 is missing the 'ip helper-address' configuration. As a result, DHCP broadcast discovery messages from local Branch PCs are not being relayed across the WAN to the central DHCP server at 10.1.1.100, causing PCs to fall back to APIPA (169.254.x.x) addresses.","The Branch Router interface GigabitEthernet0/0 is missing the 'ip helper-address' configuration. As a result, DHCP broadcast discovery messages from local Branch PCs are not being relayed across the WAN to the central DHCP server at 10.1.1.100, causing PCs to fall back to APIPA (169.254.x.x) addresses.",high,Accept,Accepted,,,Accepted. AI correctly identified missing ip helper-address configuration on Branch Router Gi0/0.,Accepted. AI correctly identified missing ip helper-address configuration on Branch Router Gi0/0.
LOG-C011,C011,2026-08-27 21:45:17,DHCP,"The DHCP pool 'SALES_POOL' on Router1 is completely exhausted with 100% utilization (all 254 available IP addresses are leased), leaving no available addresses for newly connected PCs.","The DHCP pool 'SALES_POOL' on Router1 is completely exhausted with 100% utilization (all 254 available IP addresses are leased), leaving no available addresses for newly connected PCs.",high,Accept,Accepted,,,Accepted. AI accurately identified DHCP pool IP address exhaustion.,Accepted. AI accurately identified DHCP pool IP address exhaustion.
